ii  blackfire-php                      1.17.3                                                   amd64        Blackfire PHP Probe
ii  php7.1-intl                        7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        Internationalisation module for PHP
ii  php7.1-json                        7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        JSON module for PHP
ii  php7.1-mbstring                    7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        MBSTRING module for PHP
ii  php7.1-mysql                       7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        MySQL module for PHP
ii  php7.1-opcache                     7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        Zend OpCache module for PHP
ii  php7.1-pgsql                       7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        PostgreSQL module for PHP
ii  php7.1-readline                    7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        readline module for PHP
ii  php7.1-soap                        7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        SOAP module for PHP
ii  php7.1-sqlite3                     7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        SQLite3 module for PHP
ii  php7.1-xml                         7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        DOM, SimpleXML, WDDX, XML, and XSL module for PHP
ii  php7.1-zip                         7.1.7.retag-1+ubuntu16.04.1+deb.sury.org+1               amd64        Zip module for PHP
ii  pkg-php-tools                      1.33+deb.sury.org~xenial+1                               all          various packaging tools and scripts for PHP packages
